Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
92,0.194682673,0.295138717,0.157919183,0.100456044,0.036763489
93,0.246816874,0.162941381,0.297689736,0.083875492,0.050872862
94,0.218784690,0.226583898,0.650295615,0.007799208,0.431510925
95,0.695033550,0.111060508,0.422353297,0.583973050,0.272680253
96,0.496739924,0.177190393,0.291135967,0.319549531,0.205603957
97,0.221414924,0.306114227,0.367354661,0.084699303,0.145939738
98,0.187892810,0.449296892,0.098424099,0.261404097,0.089468710
99,0.229469508,0.556126177,0.200228631,0.326656669,0.029240876
100,0.242870137,0.282906443,0.192856699,0.040036306,0.050013438
101,0.284456491,0.107056543,0.161236301,0.177399948,0.123220190
102,0.274660915,0.128135830,0.328209639,0.146525085,0.053548723
103,0.131854668,0.261000246,0.677220881,0.129145578,0.545366228
104,0.578006625,0.121906452,0.414182037,0.456100166,0.163824588
105,0.445398629,0.195096552,0.298783183,0.250302076,0.146615446
106,0.242988661,0.369148344,0.238463223,0.126159683,0.004525438
107,0.350860596,0.570519269,0.112628385,0.219658673,0.238232210
108,0.249259517,0.475202590,0.315418184,0.225943074,0.066158667
109,0.325088292,0.155361250,0.316461742,0.169727042,0.008626550
110,0.389553487,0.127619877,0.300558567,0.261933625,0.088994920
111,0.361076742,0.135587111,0.346951634,0.225489631,0.014125109
112,0.300416648,0.235488489,0.415901452,0.064928159,0.115484804
113,0.396968901,0.101610050,0.320183218,0.295358837,0.076785684
114,0.290009856,0.262214601,0.398899168,0.027795255,0.108889312
115,0.274702251,0.206381485,0.271032512,0.068320766,0.003669739
116,0.377700150,0.733652115,0.285625517,0.355951965,0.092074633
117,0.730098128,0.520046651,0.314620703,0.210051477,0.415477425
118,0.152465641,0.176139399,0.323558033,0.023673758,0.171092391
119,0.266194403,0.079401575,0.190571323,0.186792821,0.075623080
120,0.260774255,0.117153041,0.223479703,0.143621206,0.037294552
121,0.301482201,0.144788057,0.282019734,0.156694144,0.019462466
122,0.159471482,0.169588521,0.162252858,0.010117039,0.002781376
123,0.118793838,0.382553786,0.462621838,0.263759941,0.343827993
124,0.152922228,0.138064399,0.376293063,0.014857829,0.223370835
125,0.388623685,0.680708408,0.498584777,0.292084724,0.109961092
126,0.780792773,0.408155441,0.190391496,0.372637331,0.590401292
127,0.038611390,0.198438138,0.296185285,0.159826756,0.257573903
128,0.059010107,0.164951622,0.223543376,0.105941519,0.164533272
129,0.060085267,0.205144644,0.402486682,0.145059377,0.342401415
130,0.139984310,0.591398656,0.496231854,0.451414347,0.356247544
131,0.202589944,0.187568560,0.369423538,0.015021384,0.166833594
132,0.224005029,0.185347155,0.374444366,0.038657874,0.150439337
133,0.163959101,0.291224986,0.294624299,0.127265885,0.130665198
134,0.494044781,0.469721258,0.233080089,0.024323523,0.260964692
135,0.042179674,0.335505486,0.231137276,0.293325812,0.188957602
136,0.156625792,0.238990948,0.435837746,0.082365155,0.279211938
137,0.420080960,0.180531695,0.287771702,0.239549264,0.132309258
138,0.155052632,0.251360446,0.412409812,0.096307814,0.257357180
139,0.241961449,0.275307447,0.377327979,0.033345997,0.135366529
140,0.739413440,0.244967446,0.386901587,0.494445980,0.352511853
141,0.355664223,0.331784606,0.298935652,0.023879617,0.056728572
142,0.193425074,0.305598736,0.238930181,0.112173662,0.045505106
143,0.063182600,0.628705621,0.255357087,0.565523028,0.192174494
144,0.318907350,0.370103955,0.213484496,0.051196605,0.105422854
145,0.329153746,0.359956950,0.346179783,0.030803204,0.017026037
146,0.334152758,0.490022868,0.228976339,0.155870110,0.105176419
147,0.169692516,0.173489437,0.288704634,0.003796920,0.119012117
148,0.267706364,0.108965792,0.303866714,0.158740580,0.036160350
149,0.680166781,0.161850497,0.387577087,0.518316269,0.292589694
150,0.303296655,0.250613481,0.401735306,0.052683175,0.098438650
151,0.112462185,0.229643270,0.466371298,0.117181085,0.353909105
152,0.102820568,0.556435883,0.278134674,0.453615308,0.175314099
